alexa_rank,company_name,company_url,score,serial_number,verb,web_info
6200,中国科学院大学,ucas.ac.cn,得分:3698,135,835,网站简介：中国科学院大学（英文名 ：University of Chinese Academy of Sciences），简称&amp;quot;国科大&amp;quot;，是国家教育部正式批准成立的一所以研究生教育为主的科...
19371,中国留学网,cscse.edu.cn,得分:3698,136,1141,网站简介：中国（教育部）留学服务中心（以下简称“中心”）成立于1989年3月31日，是教育部直属事业单位，以事业单位法人注册，主要从事出国留学、留学回国、来华留学以及教育国际交流...
17490,学而思网校,xueersi.com,得分:3693,137,455,网站简介：学而思网校是好未来教育集团旗下中小学在线教育品牌，也是国内率先整合“互联网”与“教育”两大领域，以“让学习更有效”为宗旨的中小学在线学习平台之一。
4453,孔夫子旧书网,book.kongfz.com,得分:3692,138,1004,网站简介：孔夫子旧书网是全球图书网站中大的中文旧书网站，汇集全国各地7000家网上书店，展示多达54814571种图书书籍，并提供图书分类、网上书店大全、图书网上拍卖、二手书买卖、网...
6233,扇贝网,shanbay.com,得分:3689,139,50,网站简介：扇贝网是一个专业的词汇学习网站。
7393,中国人民大学,www.ruc.edu.cn,得分:3685,140,907,网站简介：中国人民大学官方网站，中国人民大学是中央部属高校，一所以人文社会科学为主，兼有部分理工学科的综合性研究型教育部直属全国重点大学。国家“211工程”和“985工程”重点...
24901,智学网,zhixue.com,得分:3684,141,16,网站简介：智学网是一款智学网提供给学校教师的移动在线的针对性教与学服务的智能化分析平台，为用户提供更加简单易用的系统操作和全面完善的资源服务 ，通过大数据分析充分挖掘校园考...
5407,武汉大学,www.whu.edu.cn,得分:3682,142,822,网站简介：武汉大学官方网站，武汉大学是国家教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设高校。
9187,华南理工大学,scut.edu.cn,得分:3679,143,594,网站简介：华南理工大学（South China University of Technology），简称华南理工，位于广东省广州市，创建于1952年。是中华人民共和国教育部直属的全国重点大学、首批国家“211工程”...
21988,中国考研网,chinakaoyan.com,得分:3678,144,1808,网站简介：中国考研网及其考研论坛是专业的考研信息网站。提供报考资讯、院校专业信息、招生简章、考研专业课试卷、辅导班、考研调剂信息等内容。网址chinakaoyan.com.
7668,上学吧,shangxueba.com,得分:3675,145,536,网站简介：上学吧（www.shangxueba.com）是全球领先的知识分享与传播平台，为用户提供资料分享、在线测试、网上书店、拜师交友、在线视频教育等服务。
110051,星火作文网,easyzw.com,得分:3675,146,97,网站简介：星火作文网是一个包含小学生作文、周记大全、日记大全的优秀作文大全网站，是集发表原创稿件和作文参照为一体的小学、初中学生的网上交流平台。
11722,考试资料网,ppkao.com,得分:3672,147,168,网站简介：考试资料网目前已为广大考友提供8万套在线试卷进行全真测试、模拟练习，同时提供公务员，外语类，财会类，建筑类，职业资格，学历考试，医药类，外贸类，计算机类等考试相关...
13563,智慧树,zhihuishu.com,得分:3669,148,40,网站简介：智慧树是全球大型的学分课程运营服务平台，在线教育平台拥有海量大学高品质课程，网络教育在线完美支持跨校授课，学分认证，名师名课名校，在线互动教育学堂，体验vip级课程...
5716,西安交通大学,www.xjtu.edu.cn,得分:3667,149,523,网站简介：西安交通大学官方网站，西安交通大学是国家教育部直属全国重点大学，为我国早兴办的高等学府之一。
23821,中国学位与研究生教育信息网（学位网）,cdgdc.edu.cn,得分:3665,150,909,网站简介：中国学位与研究生教育信息网由教育部学位与研究生教育发展中心（全国学位与研究生教育数据中心）主办，接受国务院学位委员会办公室指导。中国学位与研究生教育信息网将致力...
47121,书法欣赏,yac8.com,得分:3662,151,61,网站简介：毛笔书法作品欣赏、硬笔书法篆刻作品欣赏；历代名家书法碑帖、手札墨迹赏析；高清书法字帖、书法讲座视频免费下载!
32664,原版英语学习网,en8848.com.cn,得分:3661,152,204,"网站简介：『小e英语』 原名原版英语学习网是中国著名英语学习网站,是目前中国大的原版英语小说及英语学习资源,网站提供大量的免费英语翻译学习英语文档，包括了新概念英语，英语口语..."
43733,国家教育资源公共服务平台,eduyun.cn,得分:3659,153,1247,网站简介：中华人民共和国教育部主办。
9957,39健康问答,ask.39.net,得分:3659,154,340,"网站简介：39问医生(ask.39.net),39健康网问答频道,中国领先的健康生活在线问答平台.提供专业,及时的在线健康咨询服务,注册医生过万名,所有问题10分钟内得到解答,问题涵盖面广,包括内..."
18767,阿卡索外教网,acadsoc.com.cn,得分:3658,155,1,"网站简介：阿卡索外教网，国内在线英语培训的领导品牌,外教均来自国际知名学府，为学员提供在线一对一口语培训,选择阿卡索是学英语的不二之选！"
26971,学而思培优,speiyou.com,得分:3658,156,575,网站简介：中国领先的培优辅导品牌
9302,南方科技大学,sustc.edu.cn,得分:3655,157,47,网站简介：南方科技大学是由中国广东省领导和管理、深圳市举全市之力创建的一所公办创新型大学，目标是迅速建成国际化高水平研究型大学，建成中国重大科学技术研究与拔尖创新人才培养...
4,百度词典,dict.baidu.com,得分:3651,158,7344,网站简介：百度词典搜索支持全面的英汉词典、汉英词典、汉语字典、汉语词典、汉语成语词典功能，以及强大的中英文自动翻译功能。
8535,德语助手,godic.net,得分:3651,159,34,"网站简介：德语助手,德语翻译软件,德语学习,德汉字典,德语词典,动词变位,德语发音,德语输入法,德语背单词"
7000,厦门大学,www.xmu.edu.cn,得分:3651,160,413,网站简介：厦门大学官方网站，厦门大学是教育部直属的全国重点大学，由著名爱国华侨领袖陈嘉庚先生于1921年创建，是中国近代教育史上第一所由华侨创办的大学，也是中国唯一一所地处经...
61150,中华考试网,examw.com,得分:3650,161,4360,网站简介：中华考试网：提供经济师、会计职称、高级会计师、一级建造师、二级建造师、执业医师、报关员考试等考试的报名时间、考试时间、考试大纲、成绩查询、在线模拟考试等相关资讯...
6239,维普网,cqvip.com,得分:3648,162,1427,网站简介：维普网-国内独家仓储式作品出版平台，提供各类学术及毕业论文、各类范文，中小学课件、教学资料等各类作品通过上传进行在线投稿，发布后为用户提供下载、同时还有2000多万篇...
14581,网大,netbig.com,得分:3647,163,104,"网站简介：网大（www.netbig.com）专注于中国大学排行榜研究,大学资料库的完善整理,网大论坛为中国早具人气的专业高等教育研讨基地。"
78628,高考派,gaokaopai.com,得分:3647,164,179,"网站简介：高考派（www.gaokaopai.com）-高考志愿填报专家。专注高考志愿填报咨询与指导,提供高考志愿,大学志愿,志愿填报指南,志愿填报参考系统等服务，通过高考志愿填报系统测评,高考..."
21240,大家论坛,club.topsage.com,得分:3646,165,142,网站简介：大家网是致力于提供在线学习交流、考试服务和教育资讯的平台，目前已经拥有强大的英语、计算机、注会、注税、初中高级会计师，考研、公务员、各类资格考试等频道。
7805,教育部考试中心托福网考网上报名 ,toefl.etest.net.cn,得分:3643,166,301,网站简介：教育部考试中心托福网考网上报名 
11800,南京航空航天大学,nuaa.edu.cn,得分:3642,167,318,网站简介：南京航空航天大学创建于1952年10月，是新中国自己创办的第一批航空高等院校之一。1978年被国务院确定为全国重点大学；1981年经国务院批准成为全国首批具有博士学位授予权的...
19193,华东理工大学,ecust.edu.cn,得分:3641,168,360,网站简介：华东理工大学（East China University of Science and Technology）是中华人民共和国教育部直属的一所具有理工特色，覆盖理、工、农、医、法、管、哲、经、文、史、教育、艺...
67509,中国在职研究生招生信息网,eduego.com,得分:3641,169,620,网站简介：中国在职研究生招生信息网是以报考在职研究生为主题的官方网站，主要提供在职硕士、在职博士、mba、emba等类别的在职研究生招生简章、报考条件、报名时间、报名入口等招生信...
8328,中山大学,www.sysu.edu.cn,得分:3640,170,489,网站简介：中山大学官方网站，中山大学成立于1924年，现为中国教育部直属重点大学，位列985工程、211工程，并在广东全境拥有四大校区。
25139,中公网校,eoffcn.com,得分:3639,171,4165,"网站简介：【中公网校】中公教育旗下远程教育平台,提供各地方、国家公务员考试培训、辅导，公务员考试题库,公务员考试大纲,公告,职位表等信息资讯.以及事业单位考试，金融银行考试，教..."
47927,事业单位考试网,zgsydw.com,得分:3639,172,1834,网站简介：事业单位考试网提供2015年事业编招聘公告、事业编考试报名时间、事业编考试内容、事业单位考试用书、事业单位考试题库，事业单位招聘考试首选中公事业单位考试网。
1179,加州大学伯克利分校,berkeley.edu,得分:3638,173,621,网站简介：加利福尼亚大学伯克利分校（University of California-Berkeley，简称UC Berkeley、Berkeley或Cal ，加州大学伯克利分校，伯克利加州大学）是世界顶尖研究型大学，也是世界...
19005,传课网,chuanke.com,得分:3638,174,6278,网站简介：百度传课，中国教育领域新兴的在线教育平台。您可在线传授技能，亦可在线学习你所需的一技之长。内容涉及英语学习、职场培训、生活技巧等技能。
11455,北京外国语大学,bfsu.edu.cn,得分:3637,175,662,网站简介：北京外国语大学是教育部直属、国家首批“211工程”建设的全国重点大学之一，是目前我国高等院校中历史悠久、教授语种多、办学层次齐全的外国语大学。大学目前已基本形成了以...
27193,爱思想,aisixiang.com,得分:3637,176,167,网站简介：爱思想
25947,太傻网,taisha.org,得分:3635,177,468,"网站简介：太傻留学教育部认证留学咨询服务中介机构,a股上市留学中介公司!涵盖出国留学咨询,出国留学语言培训,海外游学领域.美国留学中介,英国,澳大利亚,德国,上海,北京,广州,成都,香..."
39768,研修网,yanxiu.com,得分:3634,178,308,网站简介：研修网是以课程改革为背景的“新课程通识远程培训”、“新课程学科远程培训”；以班主任素质提升为目标的案例式“班主任远程培训”；以提升农村义务教育水平和质量为目标的...
46439,建设工程教育网,jianshe99.com,得分:3632,179,1807,"网站简介：建设工程教育网（www.jianshe99.com）,是著名的建筑工程行业职业资格考试辅导网络培训网站,汇聚名师精心打造一级/二级建造师/监理工程师/造价工程师/经纪人考试网上辅导课程..."
9641,山东大学,www.sdu.edu.cn,得分:3629,180,577,网站简介：山东大学官方网站，山东大学是一所历史悠久、学科齐全、学术实力雄厚、办学特色鲜明，在海内外具有重要影响力的部属全国重点综合性大学，是首批进入国家“211工程”、“985...
25155,中国社会科学网,cssn.cn,得分:3629,181,1202,网站简介：中国社会科学网以“中国哲学社会科学优秀成果的观点发布平台、全球学术资讯的权威集散地、中国学术走向世界的重要桥梁”为发展定位，致力于打造全球领先的学术门户网站。
5830,香港大学,www.hku.hk,得分:3628,182,190,"网站简介：established in 1911, the university of hong kong (hku) is the territory’s oldest institute of higher learning and also an internationally recognized, research ..."
17595,批改网,pigai.org,得分:3625,183,27,网站简介：批改网(www.pigai.org)是北京词网科技有限公司旗下网站。
63523,数学备课大师,eywedu.net,得分:3625,184,373,网站简介：免费、便捷的中小学在线数学备课网站
123343,e度教育网,eduu.com,得分:3623,185,8453,网站简介：e度教育网（www.eduu.com）是一个家长、教师、学生互动交流和学习的网络平台，主要提供基础教育阶段各科：课件、教案、试题试卷等学习和教学资源，以及互动交流社区。
57386,中国现代远程与继续教育网,cdce.cn,得分:3621,186,493,"网站简介：中国现代远程教育网，创建于2008年,由教育部和工信部联合主管，全国高校现代远程教育协作组和全国高校网络教育考试委员会主办是由具有深厚背景的远程教育资深专家、科研院所..."
20,爱问,iask.sina.com.cn,得分:3618,187,756,网站简介：新浪爱问研发的国内第一个中文互动型问答产品。汇聚亿万网民头脑中的智慧、经验和知识，为用户提供发表提问、解答问题、搜索答案、资料下载、词条分享等全方位知识共享服务...
48577,第一课件网,1kejian.com,得分:3618,188,2747,网站简介：第一课件网（www.1kejian.com）为广大教师免费提供中小学课件，教案，试题，动画等教学资源下载！
12852,中国农业大学,cau.edu.cn,得分:3616,189,871,网站简介：中国农业大学是国家“211工程”和“985工程”重点建设的教育部直属高校。
36963,全国大学四、六级考试,www.cet.edu.cn,得分:3615,190,197,网站简介：全国大学英语四、六级考试委员会 主办
5737,南京大学,www.nju.edu.cn,得分:3613,191,618,网站简介：南京大学官方网站，南京大学现为教育部直属全国重点大学，国家“211工程”和“985工程”重点建设高校。
15130,爱课程,icourses.cn,得分:3613,192,255,网站简介：“爱课程”网是教育部、财政部 “十二五”期间启动实施的“高等学校本科教学质量与教学改革工程”支持建设的高等教育课程资源共享平台。本网站集中展示“中国大学视频公开课...
8139,天津大学,www.tju.edu.cn,得分:3612,193,472,网站简介：天津大学是教育部直属国家重点大学，其前身为北洋大学，始建于1895年10月2日，是中国第一所现代大学，素以“实事求是”的校训、“严谨治学”的校风和“爱国奉献”的传统享誉...
8861,读秀网,duxiu.com,得分:3612,194,539,网站简介：秀学术搜索是目前全世界完整的文献搜索及获取服务平台，其后台建构在由海量全文数据及元数据组成的超大型数据库基础上。以10亿页中文资料为基础，为读者提供深入内容的章节...
18140,西南大学,swu.edu.cn,得分:3612,195,519,网站简介：西南大学（southwest university）位于重庆市北碚区缙云山下，是国家211工程 、985工程优势学科创新平台、“111计划”、“2011计划”、“卓越农林人才教育培养计划”、“卓...
32791,学佛网,xuefo.net,得分:3612,196,167,网站简介：学佛网（www.xuefo.net），中国佛教网，念佛，净土，往生西方，极乐世界，学佛修行，阿弥陀佛
727,Coursera 官网,coursera.org,得分:3610,197,203,网站简介：Coursera是免费大型公开在线课程项目，由美国斯坦福大学两名计算机科学教授创办。旨在同世界顶尖大学合作，在线提供免费的网络公开课程。Coursera 的首批合作院校包括斯坦福...
9850,中国石油大学(华东),upc.edu.cn,得分:3610,198,493,"网站简介：中国石油大学是教育部直属全国重点大学，是国家“211工程”重点建设的高校，是建有研究生院的56所高校之一，也是国家重点支持开展“优势学科创新平台”建设的高校,是石油、..."
13,搜狐教育,learning.sohu.com,得分:3609,199,2590,"网站简介：搜狐教育频道提供教育资讯与服务,包括考试大全、培训课程检索、辅导文章和新闻动态。"
10609,美国LetPub编辑,letpub.com.cn,得分:3609,200,13,网站简介：LetPub SCI论文英语润色和同行资深专家修改团队全部由以英语为母语，有长期编辑科技论文经验的编辑组成。他们来自于临床医学、生物、化学、物理、工程学 、天文学、地球与环...
5547,香港中文大学,www.cuhk.edu.hk,得分:3608,201,219,网站简介：香港中文大学（The Chinese University of Hong Kong），简称港中大（CUHK），书院联邦制大学建制，为东亚AACSB认证成员、亚太高校书院联盟成员、世界大学联盟成员、亚太国...
7078,华中科技大学,www.hust.edu.cn,得分:3606,202,559,网站简介：华中科技大学官方网站，华中科技大学是教育部直属全国重点大学，是首批列入国家“211工程”、“985工程”和“卓越工程师教育培养计划”重点建设的综合性大学之一，是国家“...
16925,学习资料库,xuexi111.com,得分:3606,203,4617,网站简介：学习资料库（www.xuexi111.com）免费共享了大量的学习资料，学习资料涵盖各学科分类和各类其它学习使用的资料，如：图书书籍，学习课件，视频教程，课后答案等，所有学习资...
27488,北京教育考试院,bjeea.cn,得分:3605,204,604,网站简介：北京教育考试院（www.bjeea.cn）北京市高考、成考、自考、中考、会考、社会考试的管理机构。
11997,中南大学,www.csu.edu.cn,得分:3602,205,477,网站简介：中南大学是教育部直属全国重点大学、国家“211工程”首批重点建设高校、国家“985工程”部省重点共建的高水平大学和国家“2011计划”首批牵头高校。
22370,广东工业大学,gdut.edu.cn,得分:3602,206,273,网站简介：
14868,东北大学,neu.edu.cn,得分:3602,207,299,网站简介：东北大学是教育部直属的国家重点大学，坐落在东北中心城市沈阳，是国家首批“211工程”和“985工程”重点建设的学校，并实现教育部、辽宁省、沈阳市重点共建。东北大学始建...
11301,上海大学,www.shu.edu.cn,得分:3598,208,180,网站简介：上海大学官方网站，上海大学是国家“211工程”重点建设的一所综合性大学，并被国家部委列入国家建设高水平大学项目和首批卓越工程师教育培养计划。
43121,中国会计网,canet.com.cn,得分:3598,209,779,"网站简介：中国会计网(会计通)是中国会计行业门户,发布会计考试信息,包含初级会计职称,中级会计职称,注册会计师等,以及会计学习,税务政策等知识,提供会计论坛交流,会计实务答疑等服务..."
78823,中国国家博物馆官方网站,chnmuseum.cn,得分:3598,210,352,网站简介：中国国家博物馆官方网站及时、全面介绍中国国家博物馆概况、藏品、展览、活动、学术研究等各项内容，提供参观门票在线预约、留言问答等多类服务，努力为社会公众了解国家博...
15058,上海外国语大学,shisu.edu.cn,得分:3595,211,364,网站简介：上海外国语大学是中国著名的高等外语学府，秉承“格高志远、学贯中外”的校训精神，已发展成一所培养涉外型、复合型外语人才的多科性、国际化、高水平特色大学，蜚声海内外...
1499,学信档案,my.chsi.com.cn,得分:3594,212,91,网站简介：“学信档案”是中国高等教育学生信息网（简称“学信网”）各类学生个人信息档案的总称，涉及全国高等教育学生信息数据库中各类学生的学籍、学历、招生录取等信息。学生本人...
38274,会计学堂,acc5.com,得分:3594,213,26,"网站简介：会计学堂致力于会计实操培训,目前拥有100万学员,是国内领先的会计实操培训机构,专注会计培训,会计从业资格证培训,零基础会计培训,会计证培训,会计实战培训班,初级会计职称培..."
44912,句酷,jukuu.com,得分:3593,214,44,"网站简介：句酷搜索引擎（www.jukuu.com）为英语学习者提供免费在线词典,在线翻译,例句搜索(study native English)&quot;"
37689,空军之翼,afwing.com,得分:3588,215,315,网站简介：空军之翼（www.afwing.com），航空迷的网络杂志。深入介绍各国空军作战飞机以及民用航空器，内容涵盖航空飞行原理、以及航空比例模型制作、飞行模拟游戏等。
2566,米尔网,miercn.com,得分:3587,216,23727,网站简介：米尔军事网是中国具特色的军事社区，是“具有全球视野的理性爱国者”的网上聚集地。军事领域的所有事件都可以在这里找到深度分析，新军事新闻、中国军情、历史事件、军事图...
12082,北京师范大学,www.bnu.edu.cn,得分:3583,217,893,网站简介：北京师范大学是教育部直属重点大学，是一所以教师教育、教育科学和文理基础学科为主要特色的著名学府。学校的前身是1902年创立的京师大学堂师范馆，1908年改称京师优级师范...
86225,海那边,hinabian.com,得分:3583,218,228,网站简介：“海那边” 是一家互联网移民平台，提供一站式商业投资移民、技术移民、家庭移民整体服务，以及移民后金融、投资、置业、商业、教育等服务。
42477,自考365 ,zikao365.com,得分:3582,219,1551,"网站简介：自考365,自考网站,自考培训机构,连续多年获得全国十佳网络教育机构称号,常年提供自考专业辅导和自考本科辅导,开设有自考辅导班, 专家名师授课,提供24小时在线答疑。此外还免..."
42638,青岛大学,qdu.edu.cn,得分:3581,220,1365,网站简介：青岛大学（Qingdao University），简称青大（QDU）是山东省与青岛市共同建设的重点综合性大学，其历史可以追溯到1909年开办的青岛特别高等专门学堂。1993年，原青岛大学、青...
25085,上海理工大学,usst.edu.cn,得分:3578,221,513,网站简介：上海理工大学（www.usst.edu.cn）是一所以工学为主，理学、管理学、经济学、文学等多学科交融发展的上海市属重点大学，已有百余年办学历史。
25641,雅思考试中文官方网站,chinaielts.org,得分:3578,222,382,网站简介：雅思，全球留学移民类英语测评领导者，已被全球135个国家逾9000所机构认可，每年全球超过200万雅思考试实现了全球学子远赴英美加澳等国家留学、移民、寻求职业发展的梦想。
190342,山东省教育招生考试院,sdzs.gov.cn,得分:3578,223,627,网站简介：山东省教育招生考试院（www.sdzs.gov.cn）
1919125,小学生作文大全,zixuekaoshi.net,得分:3577,224,86,网站简介：小学生作文大全网为您提供小学三年级、四年级、五年级、六年级作文，写人、写事、写景、想象作文等；欢迎支持小学生作文大全。
12143,苏州大学,www.suda.edu.cn,得分:3574,225,216,网站简介：苏州大学，简称苏大，是国家“211工程”重点建设高校、“2011计划”首批牵头高校，是江苏省属重点综合性大学，教育部“卓越医生教育培养计划”、“卓越工程师教育培养计划”...
17195,互动吧,www.hdb.com,得分:3574,226,683,网站简介：互动吧厦门活动平台，提供厦门活动宣传，厦门会议营销，厦门亲子活动，厦门培训活动，厦门户外活动，厦门互联网活动，厦门创业活动等多种行业活动发布，厦门一站式综合活动...
1499,学信网,account.chsi.com.cn,得分:3573,227,121,网站简介：中国高等教育学生信息网(简称“学信网”)由全国高等学校学生信息咨询与就业指导中心(以下简称“中心”)主办，由中心控股的学信咨询服务有限公司承办。
7273,北京理工大学,www.bit.edu.cn,得分:3573,228,334,网站简介：北京理工大学创立于1940年，前身是延安自然科学院，是中国共产党创办的第一所理工科大学，毛泽东同志亲自题写校名，李富春、徐特立、李强等老一辈无产阶级革命家先后担任学...
15296,西北农林科技大学,nwsuaf.edu.cn,得分:3573,229,345,网站简介：西北农林科技大学（Northwest A&amp;amp;F University）简称“西农”或“西北农大”，坐落于农科城杨凌，是教育部直属全国重点大学、32所副部级建制的重点大学之一，国...
41188,扬州大学,yzu.edu.cn,得分:3573,230,283,网站简介：　扬州大学是江苏省属重点综合性大学，是全国率先进行合并办学的高校，1992年由扬州师范学院、江苏农学院、扬州工学院、扬州医学院、江苏水利工程专科学校、江苏商业专科学...
66996,范文先生网,fwsir.com,得分:3572,231,536,"网站简介：范文先生网站为您提供个人工作总结计划,观读后感,心得体会范文,个人简历模板,演讲稿,作文教案大全,实习实践报告等各类范文范例以供参考。"
21308,北京交通大学,njtu.edu.cn,得分:3571,232,456,网站简介：北京交通大学是教育部直属，教育部、中国铁路总公司、北京市人民政府共建的全国重点大学，是国家“211工程”、“985工程优势学科创新平台”项目建设高校和具有研究生院的全...
56877,一起作业网,17zuoye.com,得分:3570,233,70,网站简介：一起作业是一款免费学习工具，是一个学生、老师和家长三方互动的作业平台，老师轻松布置作业，学生快乐做作业，家长可以定期查看孩子的学习进度及报告，情景交融的学习模式...
24355,美国之音,51voa.com,得分:3569,234,127,"网站简介：美国之音（www.51voa.com）VOA听力下载,慢速英语,常速英语。"
242174,全国征兵网,gfbzb.gov.cn,得分:3567,235,238,网站简介：全国征兵网是全国征兵报名唯一官方网站。年满18岁男性青年应参加网上兵役登记；大学生、女青年、已参加兵役登记有参军意向的其他男青年可申请参军报名。
43392,21英语,i21st.cn,得分:3566,236,215,网站简介：21英语网是中国具原创性的英语学习和教学网站，拥有独家的英语学习资料及教育资料，专注于打造巨量人气的英语学习交流平台，为全国英语学习者和教育者提供专业服务。
64503,四川省教育考试院,sceea.cn,得分:3564,237,326,网站简介：四川省教育考试院（www.sceea.cn）。
245913,六一儿童网,61ertong.com,得分:3564,238,931,网站简介：六一儿童网是专注于为中国儿童提供服务的绿色门户网站。海量原创儿歌，儿歌视频，儿童歌曲MP3，儿童故事，儿童游戏，儿童舞蹈等非常精彩的内容，为广大的学龄前儿童打造一片...
62230,恒星英语,hxen.com,得分:3563,239,436,网站简介：恒星英语学习网致力于打造中国英语学习互助，英语资源分享网站。包含英语听力，英语口语，英语四级，英语六级，英语翻译，新概念等免费英语学习内容下载。
9140,学堂在线,www.xuetangx.com,得分:3562,240,78,网站简介：学堂在线是免费公开的MOOC（大规模开放在线课程）平台，是国家教育部MOOC研究中心官方合作平台，致力于通过来自国内外一流名校开设的免费网络学习课程，为公众提供系统的高...
48513,华东政法大学,ecupl.edu.cn,得分:3560,241,329,网站简介：华东政法大学（East China University of Political Science and Law），简称华政，位于中国的金融中心上海，入选中国首批“卓越法律人才教育培养计划”，为新中国创办的第...
85979,高顿财经,gaodun.cn,得分:3558,242,901,网站简介：高顿财经，专业致力于财经教育，提供终身财经教育。高顿财经矢志于“建立国际化财经培训基地，培养世界级财务金融精英”。
29923,广州大学,gzhu.edu.cn,得分:3556,243,284,网站简介：广州大学是一所综合性大学，在培养高素质创新型人才、取得突破性科研进展，以及为地方经济发展和社会进步提供智力支持等方面都发挥着极其重要的作用。
90465,语文资源网,eywedu.com,得分:3555,244,1522,"网站简介：语文资源网（www.eywedu.com）语文新课程资源网,语文资源网。"
819,CNKI翻译助手,dict.cnki.net,得分:3552,245,81,网站简介：cnki英语在线翻译系统，为您提供学科领域全面、专业的专业词汇翻译，文献翻译、英汉互译、英汉词典、汉英辞典字典、英汉例句、专业词汇、科技术语翻译等免费翻译服务，中国...
13913,标准分享网,bzfxw.com,得分:3551,246,96,"网站简介：标准分享网（www.bzfxw.com）是行业标准免费下载站|主要提供石油,化工,建筑,机械,食品,等行业标准,国家标准,国外标准,DIN标准,BS标准,JIS标准免费下载!"
96811,河南省教育网,haedu.cn,得分:3550,247,527,"网站简介：河南教育网是由河南省教育厅主管,河南省教育信息中心主办的教育信息门户网站,是河南权威的教育网络平台,提供阳光高考、考研、中考、自考、成考、英语四六级等教育,考试相关..."
415311,江苏教师教育网,jste.net.cn,得分:3548,248,353,网站简介：江苏教师教育网( www.jste.org.cn) 是由江苏省教育厅主管，江苏省教师培训中心、江苏省高校师资培训中心和江苏省电化教育馆负责日常管理和运行维护，江苏省教师教育网络联盟...
23834,尚德机构,sunlands.com,得分:3547,249,168,"网站简介：尚德机构,泉州分校,尚德机构:中国领先的互联网教育公司。提供全国精品直播课程、录播课程、面授课程等，业务涵盖职业资格认证、上班族的学历教育、人力资源管理、会计体系培..."
68744,江苏省教育考试院,jseea.cn,得分:3547,250,1062,网站简介：江苏省教育考试院门户网站（www.jseea.cn）。
29350,法律教育网,chinalawedu.com,得分:3543,251,2370,网站简介：法律教育网是正保旗下超大型国家司法考试网上辅导网站，常年开展国家司法考试、法律顾问考试等远程培训，顶级国家司法考试专家和律师视频授课、超高通过率。另有法律实务讲...
125868,新课标第一网,xkb1.com,得分:3542,252,185,"网站简介：提供课件,免费课件,试题,教案下载"
